尽量啦 (jǐn liàng la)	嗱量喇
兴奋 (xīng fèn)	興奮
甜品 (tián pǐn)	甜品
主要 (zhǔ yào)	主要
沟通 (gōu tōng)	溝通
圈子 (quān zǐ)	圈子
参加 (cān jiā)	參加
教练 (jiào liàn)	教練
全部 (quán bù)	全部
主动 (zhǔ dòng)	主動
介绍 (jiè shào)	介紹
认识 (rèn shi)	認識
省钱 (shěng qián)	慳錢
你说的算 (nǐ shuō de suàn)	你講嘅算
我可能来不及 (wǒ kě néng lái bù jí)	我可能趕唔切
不醉 (bù zuì)	不醉
比你无关 (bǐ nǐ wú guān)	過你無關
早点睡 (zǎo diǎn shuì)	早啲瞓
确实 (què shí)	認真
现在几点 (xiàn zài jī diǎn)	而家幾點
星期一 (xīng qī yī)	星期一
最近怎么样? (zuì jìn zěn me yáng ?)	呢排點呀?
等我一会儿 (děng wǒ yī huì ér)	等我一陣
祝你好运 (zhù nǐ hǎo yùn)	祝你好運
对不起 (duì bù qǐ)	對唔住
是我的错 (shì wǒ de cuò)	係我嘅錯
解决问题 (jiě jué wèn tí)	度橋
刚才 (gāng cái)	啱啱
明白吗 (míng bái ma)	明唔明呀
清楚 (qīng chǔ)	清楚
自己 (zì jǐ)	自己
讨厌 (tǎo yàn)	討厭
对 (duì)	啱
冷静 (lěng jìng)	冷靜
害怕 (hài pà)	害怕
紧张 (jǐn zhāng)	緊張
我想过 (wǒ xiǎng guò)	我諗過
真是好幸运 (zhēn shì hǎo xìng yùn)	真係好幸運
不幸的 (bù xìng de)	不幸嘅
教养 (jiào yǎng)	教養
天哪 (tiān nǎ)	唔係啩
聊天 (liáo tiān)	聊天
上班 (shàng bān)	返工
好的 (hǎo de)	好
为什么 (wèi shén me)	點解
没事 (méi shì)	冇事
不用不用谢 (bù yòng bù yòng xiè)	唔使唔使多谢
好久不见 (hǎo jiǔ bù jiàn)	好耐無見
评委 (píng wěi)	評委
小意思而已 (xiǎo yì sī ér yǐ)	小意思而已
搞定这个事 (gǎo dìng zhè gè shì)	搞定呢個事
可惜的 (kě xī de)	可惜嘅
幽默 (yōu mò)	搞笑
请再说一次 (qǐng zài shuō yī cì)	請再說一次
你说了什么? (nǐ shuō le shén me ?)	你講咗乜嘢？
午饭 (wǔ fàn)	晏飯
